Metabolite,HMDB ID,ref,primary,recurrent
7-Methylguanine,HMDB0000897,0.070754717,0.096,0.099
alpha-Aminobutyric acid,HMDB0000452,0.020869565,31.62,24.7
Adenosine,HMDB0000050,0.003820034,0.111,0.074
Asymmetric dimethylarginine,HMDB0001539,0.034883721,0.166,0.154
Alanine,HMDB0000161,0.176004693,232.3,610.2
Allantoin,HMDB0000462,0.409090909,0.654,0.629
Arginine,HMDB0000517,0.137111517,60.84,70.14
Asparagine,HMDB0000168,0.101971448,36.48,52.29
Aspartic acid,HMDB0000191,0.303030303,1.022,3.477
beta-Alanine,HMDB0000056,0.042253521,13.51,1.838
Betaine,HMDB0000043,0.480769231,42.82,38.36
Choline,HMDB0000097,0.177777778,6.842,19.73
Citrulline,HMDB0000904,0.075566751,31.69,18.74
Creatine,HMDB0000064,0.213068182,21.13,35.5
Creatinine,HMDB0000562,0.326797386,105.8,68.83
Ethanolamine,HMDB0000149,0.043165468,4.453,3.014
Glutamine,HMDB0000641,0.129115558,496.2,606
Glutamic acid,HMDB0000148,0.128534704,56.86,89.06
Glycine,HMDB0000123,0.390015601,266.4,239.7
Guanine,HMDB0000132,0.007211538,0.169,0.159
Histidine,HMDB0000177,0.055493896,63.99,96.37
Homoarginine,HMDB0000670,0.006528836,0.363,1.418
Hypoxanthine,HMDB0000157,0.162601626,2.015,3.703
Isoleucine,HMDB0000172,0.360576923,60.08,69.26
Indole,HMDB0000738,0.6466,3.042,6.213
Kynurenine,HMDB0000684,0.023677979,0.893,2.274
Leucine,HMDB0000687,0.255102041,119.3,139.2
Lysine,HMDB0000182,0.404312668,131.1,153.5
Methionine,HMDB0000696,0.110619469,17.32,24.05
Methionine sulfoxide,HMDB0002005,0.131578947,0.841,0.844
Methylhistidine,HMDB0000479,0.09375,92.4,46.48
N1-Acetylspermidine,HMDB0001276,0.020689655,0.093,0.053
N-Acetylputrescine,HMDB0002064,0.014423077,0.033,0.058
Nudifloramide,HMDB0004193,0.357142857,3.963,1.908
Ornithine,HMDB0000214,0.058846607,58.13,52.28
Phenylalanine,HMDB0000159,0.044483986,49.62,70.97
Proline,HMDB0000162,0.694444444,104,254.1
Sarcosine,HMDB0000271,0.029769473,32.1,4.312
Serine,HMDB0000187,0.154479918,84.32,120.4
Taurine,HMDB0000251,0.255972696,41.57,39.6
Threonine,HMDB0000167,0.669642857,129.5,248.3
Thymidine,HMDB0000273,0.032608696,0.12,0.153
