Metabolite,HMDB ID,ref,primary,recurrent
5-Methyluridine,HMDB0000884,0.075,0.158,0.143
7-Methylguanine,HMDB0000897,0.0708,0.11,0.098
alpha-Aminobutyric acid,HMDB0000452,0.0209,18.14,17.85
Adenosine,HMDB0000050,0.0038,0.103,0.076
Asymmetric dimethylarginine,HMDB0001539,0.0349,0.139,0.29
Alanine,HMDB0000161,0.176,429.5,423.1
Allantoin,HMDB0000462,0.4091,0.812,0.593
Arginine,HMDB0000517,0.1371,63.07,74.89
Asparagine,HMDB0000168,0.102,28.49,38.48
Aspartic acid,HMDB0000191,0.303,5.471,7.921
beta-Alanine,HMDB0000056,0.0423,2.759,1.448
Betaine,HMDB0000043,0.4808,18.11,36.66
Choline,HMDB0000097,0.1778,7.247,8.088
Citrulline,HMDB0000904,0.0756,42.1,33.61
Creatine,HMDB0000064,0.2131,7.484,12.23
Creatinine,HMDB0000562,0.3268,83.67,89.67
Ethanolamine,HMDB0000149,0.0432,3.482,5.293
Glutamine,HMDB0000641,0.1291,504.5,634
Glutamic acid,HMDB0000148,0.1285,61.36,91.48
Glycine,HMDB0000123,0.39,186.7,254.8
Guanine,HMDB0000132,0.0072,0.186,0.157
Histidine,HMDB0000177,0.0555,69.25,90.56
Homoarginine,HMDB0000670,0.0065,1.025,0.775
Hypoxanthine,HMDB0000157,0.1626,1.997,3.009
Isoleucine,HMDB0000172,0.3606,61.64,61.83
Indole,HMDB0000738,0.6466,6.358,7.331
Kynurenine,HMDB0000684,0.0237,1.433,2.005
Leucine,HMDB0000687,0.2551,109.9,127.9
Lysine,HMDB0000182,0.4043,113.1,159.4
Methionine,HMDB0000696,0.1106,16.07,26.63
Methionine sulfoxide,HMDB0002005,0.1316,0.549,0.562
Methylhistidine,HMDB0000479,0.0938,22.87,15.94
N1-Acetylspermidine,HMDB0001276,0.0207,0.066,0.062
N-Acetylputrescine,HMDB0002064,0.0144,0.051,0.024
Nudifloramide,HMDB0004193,0.3571,2.182,3.141
Ornithine,HMDB0000214,0.0588,41.91,79.85
Phenylalanine,HMDB0000159,0.0445,49.52,61.55
Proline,HMDB0000162,0.6944,178,214.7
Putrescine,HMDB0001414,0.0667,0.218,0.232
Sarcosine,HMDB0000271,0.0298,6.463,3.739
Serine,HMDB0000187,0.1545,66.32,63.8
Taurine,HMDB0000251,0.256,34,42.11
Threonine,HMDB0000167,0.6696,157.9,210.4
Thymidine,HMDB0000273,0.0326,0.174,0.12
Trimethylamine N-Oxide,HMDB0000925,0.0973,4.723,2.678
trans-4-Hydroxyproline,HMDB0000725,0.0906,10.97,15.06
Tryptophan,HMDB0000929,0.034,29.82,41.8
Tyrosine,HMDB0000158,0.1807,40.48,61.16
Uridine,HMDB0000296,0.3077,5.887,3.884
Valine,HMDB0000883,0.2947,198.1,214.4
Urea,HMDB0000294,102.3497,6228,5414
Glucose,HMDB0000122,22.5,4431,6719
LysoPC a C14:0,HMDB0010379,0.1296,1.7798,2.9196
LysoPC a C16:1,HMDB0010383,0.0747,2.0065,2.4641
LysoPC a C16:0,HMDB0010382,0.1085,49.7105,58.5419
LysoPC a C17:0,HMDB0012108,0.0164,0.9487,0.9746
LysoPC a C18:2,HMDB0010386,0.0399,31.5785,30.4116
LysoPC a C18:1,"HMDB0002815, HMDB0010385",0.0518,16.1508,17.1708
LysoPC a C18:0,"HMDB0010384, HMDB0011128",0.0532,16.0293,15.001
LysoPC a C20:4,"HMDB0010395, HMDB0010396",0.0282,4.3507,5.1265
LysoPC a C20:3,"HMDB0010393, HMDB0010394",0.0895,3.9351,3.0102
LysoPC a C24:0,HMDB0010405,0.0374,0.0951,0.1004
LysoPC a C26:1,HMDB0029220,0.0327,0.0803,0.0668
LysoPC a C26:0,HMDB0029205,0.1292,0.3884,0.3669
LysoPC a C28:1,HMDB0029221,0.0519,0.2304,0.1847
LysoPC a C28:0,HMDB0029206,0.0715,0.2147,0.2193
